country,country_code,year,gdp_per_capita,life_expectancy,internet_usage,unemployment
Turkiye,TUR,1993,3057.93737480422,69.018,0.00846,8.255
United States,USA,1993,26387.2937338171,75.419512195122,2.27,6.9
Argentina,ARG,1994,7437.56242327594,72.732,0.0437,11.759
Armenia,ARM,1994,390.879964297655,68.2718048780488,0.00912,6.6
Australia,AUS,1994,18155.6282000179,77.8780487804878,2.23,9.719
Austria,AUT,1994,25546.2460525087,76.419512195122,1.39,6.5
Azerbaijan,AZE,1994,157.063549947072,60.277,0.00143,0.65
Belgium,BEL,1994,24208.5547931447,76.6917073170732,0.696,9.645
Bulgaria,BGR,1994,1149.89464008734,71.2087804878049,0.0195,20.168
Belarus,BLR,1994,1460.00791360458,68.7682926829268,0.000486,2.1
Canada,CAN,1994,19997.6237373354,77.8717073170732,2.38,10.395
Switzerland,CHE,1994,43091.7770970073,78.35,2.72,3.58
Chile,CHL,1994,4012.10159912285,74.973,0.141,7.816
China,CHN,1994,475.677874448369,69.835,0.00117,0.998
Colombia,COL,1994,2325.91872973374,69.422,0.107,7.6
Cyprus,CYP,1994,11617.6923828125,76.383,0.111,2.7
Czechia,CZE,1994,4663.28665345469,72.9726829268293,1.26,4.284
Germany,DEU,1994,27201.9593555204,76.2707317073171,0.923,8.727
Denmark,DNK,1994,29967.8303903163,75.3751219512195,1.34,8.036
Algeria,DZA,1994,1525.54061760288,67.284,0.000361,24.4
Ecuador,ECU,1994,1996.85894789444,70.876,0.0348,6.68
"Egypt, Arab Rep.",EGY,1994,807.303537230487,64.663,0.00638,10.932
Spain,ESP,1994,13405.704414883,77.9014634146342,0.28,24.209
Estonia,EST,1994,2819.12612100926,66.5,1.16,2.2
Fiji,FJI,1994,2297.18005884304,65.796,0.00791,5.7
France,FRA,1994,23359.8985104774,77.6487804878049,0.9,12.593
United Kingdom,GBR,1994,19709.2380983653,76.8853658536585,1.04,9.648
Greece,GRC,1994,10937.0223808611,77.6390243902439,0.378,9.808
